SKU Information,,,,,,,,DIRECT SHIP,,,,,,,,,,,,,,Product Description,,,,,,,,Plank Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,Certifications / Environmental,,Carton Specs,,,,,,,Pallet Specs,,,,,,,,,,,CUBE OUT,,"Container Specs - Savannah, GA unless noted",,,,Plank Construction,,,,,,Carton Specs,,,,Pallet Specs,,,,Marketing - USA,,,BARCODES,,,,Direct Trims,,,,,,,,,,,Stair Cap,Stair Cap,Stair Cap,Reducer,Reducer,Reducer,T-Mold,T-Mold,T-Mold,Builder Trims,,,,,,,,,,,,,,,,,,,,,
USF Category,Product Category,USF Inventory SKU#,Shaw Inv #,Shaw Color #,Full Shaw SKU,COUNTRY OF ORIGIN,Selling Style,US East,US West,Canada,International,Hawaii,Status,Intro Date,Style Name,Abbreviated Style Name,Builder Selling Style SC 85,Builder Selling Style Name SC 85,Builder Selling Style SC 86,Builder Selling Style Name SC 86,Warranty,Description/Color,Color Range,Species,Type,Visual / Embossing,Texture Discription,Color Family,Color Shade,PO Dimensions (mm),Plank Length (mm),Random Length Range (mm),Plank Width (mm),Plank Thickness (mm),Wear Layer Thickness (mil),Wear Layer Thickness (mm),Top Vinyl Layer Thickness (mm),Balancing Layer Thickness (mm),Pattern Repeat,Bevel Format,Edge Bevel (mm),End Bevel (mm),Painted Bevel Pantone Color,Core Thickness (mm),Core Material/ Composition,Core Density (kg/m3),Core Color,Underlayment Thickness (mm),Underlayment Material,Underlayment Country of Origin,Finish Description,Finish Brand,Gloss Level (%),Adhesive / Binder,Locking Profile,Profile Code,GREENGUARD Certificate,CARB Certificate,Carton Length (mm),Carton Width (mm),Carton Height (mm),"Sq M /
 Piece","Pieces/
 Carton","Sq M/ 
 Carton",Weight/ Carton (kg),"Cartons/
 Pallet",Sq M/Pallet,"Carton Weight/
 Pallet (kg)",Pallet Tare Weight (kg),Total Pallet Weight (kg),Pallet Length (mm),Pallet Width (mm),Pallet Height (mm),"Number Cartons/ 
 Level","Number Levels/ 
 Pallet",Max # of Pallets can stack,Pallets / 20',Pallets / 40',"Pallets/
 20' Container",Cartons/ 20' Container,"Pallets/ 
 40' container",Cartons/ 40' Container,Actual Dimensions,"Actual Sq Ft/ 
 Carton",Plank Length (in),Random Length Range (in) (Starter Row),Plank Width (in),Plank Thickness (in),Carton Length (in),Carton Width (In),Carton Height (in),Weight/ Carton (lbs),Weight/Pallet (lbs),Pallet Length (Inches),Pallet Width (Inches),Pallet Height (inches),Advertised Dimensions (Nominal),"Advertised Sq Ft/ 
 Carton",Advertised Sq Ft/Pallet,UPC Code,I2of5 Code,i2of5 (diff qty),EAN,Quarter Round,TMold,Baby Threshold,Multi Purpose Reducer,Overlap Stairnose,Flush Stair Nose,Square Stair Nose Style #,Round Stair Tread,Square Stair Tread Style #,Stair Riser,Baseboard / Bullnose,Satin Silver,Satin Nickel,Dark Bronze,Satin Silver,Satin Nickel,Dark Bronze,Satin Silver,Satin Nickel,Dark Bronze,BT Selling style Builder #85,MPR/Overlap Reducer Selling style Builder #85,T-Mold Selling style Builder #85,QR Selling Style Builder #85,FSN Selling Style Builder #85,"SQ SN Selling Style SC #85
 Single Family",Round Stair Tread Selling Style #85,Square Stair Tread Selling Style #85,Stair Riser Selling Style #85,Recommended Adhesive Style Number,Recommended Adhesive Style Name,Recommended Adhesive Style Number,Recommended Adhesive Style Name,Recommended Adhesive Style Number,Recommended Adhesive Style Name,Recommended Adhesive Style Number,Recommended Adhesive Style Name,Recommended Adhesive Style Number,Recommended Adhesive Style Name,Recommended Adhesive Style Number,Recommended Adhesive Style Name,Design language
SPC,U1,-,UV465,2060,UV46502060,China,VV465,UV470,UV619,UV616,-,,Active,Q3 2018,COREtec - Galaxy Pallet Program,Galaxy SPC,,,493CT,Brookline Plank,"30 Residential, 7 Light Commercial",Whirlpool Oak,High,Oak,Plank,Cathedral,,,,1220 mm x 181 mm x 4.4 mm,1220,-,181,4.4,12,0.3,-,-,5,Micro,0.80*0.12,0.80*0.12,-,3.1,SPC,1900,Gray,1,Cork,China,UV Acrylic,Akzo Nobel,8±2°,PU Glue,Angle/Tap,,Gold,-,1240,195,58,0.22,12,2.65,19,45,119,855,25,880,1265,1020,657,5,9,4,27,60,27,1215,28,1260,7.13'' x 48.03'' x 4.4 mm,28.52,48.03,-,7.13,0.17,48.82,7.68,2.28,41.89,1940.07,49.8,40.16,25.87,7'' x 48'' x 4.4 mm,28.52,1283.4,836210334662,10836210334669,-,-,04Z00-02060,04Z01-02060,04Z02-02060,04Z03-02060,04Z04-02060,04Z05-02060,,-,,,-,,,,,,,,,,,,,,,,,,,US121,Lokworx Resilient Adhesive (1 gal),US104,LokWorx+ Resilient (1 gal),US122,Lokworx Resilient Adhesive (4 gal),US105,LokWorx+ Resil (4 gal),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,
SPC,U1,-,UV765,2060,UV76502060,Vietnam,VV465,UV766,UV767,UV768,V4146,,Active,9/2020,COREtec - Galaxy Pallet Program Vietnam,Galaxy SPC VT,,,493CT,Brookline Plank,"30 Residential, 7 Light Commercial",Whirlpool Oak,High,Oak,Plank,Woodgrain,,,,1220 mm x 181 mm x 4.4 mm,1220,-,181,4.4,12,0.3,-,-,5,Micro,0.80*0.12,0.80*0.12,-,3.1,SPC,1900,Gray,1,Cork,China,UV Acrylic,Akzo Nobel,8±2°,PU Glue,Angle/Tap,,Gold,-,1240,195,58,0.22,12,2.65,19,45,119,855,25,880,1265,1020,657,5,9,4,27,60,27,1215,28,1260,7.13'' x 48.03'' x 4.4 mm,28.52,48.03,-,7.13,0.17,48.82,7.68,2.28,41.89,1940.07,49.8,40.16,25.87,7'' x 48'' x 4.4 mm,28.52,1283.4,836210011648,10836210011645,-,-,04Z00-02060,04Z01-02060,04Z02-02060,04Z03-02060,04Z04-02060,04Z05-02060,,-,,USC02,-,,,,,,,,,,,,,,,,,,,US121,Lokworx Resilient Adhesive (1 gal),US104,LokWorx+ Resilient (1 gal),US122,Lokworx Resilient Adhesive (4 gal),US105,LokWorx+ Resil (4 gal),052VS,Shaw 200 (1 gal),026VS,Shaw 200 (4 gal),
SPC,U1,-,UV765,2061,UV76502061,Vietnam,VV465,UV766,UV767,UV768,V4146,,Active,9/2020,COREtec - Galaxy Pallet Program Vietnam,Galaxy SPC VT,,,493CT,Brookline Plank,"30 Residential, 7 Light Commercial",Cartwheel Oak,Moderate,Oak,Plank,Woodgrain,,,,1220 mm x 181 mm x 4.4 mm,1220,-,181,4.4,12,0.3,-,-,5,Micro,0.80*0.12,0.80*0.12,-,3.1,SPC,1900,Gray,1,Cork,China,UV Acrylic,Akzo Nobel,8±2°,PU Glue,Angle/Tap,,Gold,-,1240,195,58,0.22,12,2.65,19,45,119,855,25,880,1265,1020,657,5,9,4,27,60,27,1215,28,1260,7.13'' x 48.03'' x 4.4 mm,28.52,48.03,-,7.13,0.17,48.82,7.68,2.28,41.89,1940.07,49.8,40.16,25.87,7'' x 48'' x 4.4 mm,28.52,1283.4,836210011655,10836210011652,-,-,04Z00-02061,04Z01-02061,04Z02-02061,04Z03-02061,04Z04-02061,04Z05-02061,,-,,USC02,-,,,,,,,,,,,,,,,,,,,US121,Lokworx Resilient Adhesive (1 gal),US104,LokWorx+ Resilient (1 gal),US122,Lokworx Resilient Adhesive (4 gal),US105,LokWorx+ Resil (4 gal),052VS,Shaw 200 (1 gal),026VS,Shaw 200 (4 gal),
SPC,U1,-,UV765,2062,UV76502062,Vietnam,VV465,UV766,UV767,UV768,V4146,,Active,9/2020,COREtec - Galaxy Pallet Program Vietnam,Galaxy SPC VT,,,493CT,Brookline Plank,"30 Residential, 7 Light Commercial",Elliptical Oak,Moderate,Oak,Plank,Woodgrain,,,,1220 mm x 181 mm x 4.4 mm,1220,-,181,4.4,12,0.3,-,-,5,Micro,0.80*0.12,0.80*0.12,-,3.1,SPC,1900,Gray,1,Cork,China,UV Acrylic,Akzo Nobel,8±2°,PU Glue,Angle/Tap,,Gold,-,1240,195,58,0.22,12,2.65,19,45,119,855,25,880,1265,1020,657,5,9,4,27,60,27,1215,28,1260,7.13'' x 48.03'' x 4.4 mm,28.52,48.03,-,7.13,0.17,48.82,7.68,2.28,41.89,1940.07,49.8,40.16,25.87,7'' x 48'' x 4.4 mm,28.52,1283.4,836210011662,10836210011669,-,-,04Z00-02062,04Z01-02062,04Z02-02062,04Z03-02062,04Z04-02062,04Z05-02062,,-,,USC02,-,,,,,,,,,,,,,,,,,,,US121,Lokworx Resilient Adhesive (1 gal),US104,LokWorx+ Resilient (1 gal),US122,Lokworx Resilient Adhesive (4 gal),US105,LokWorx+ Resil (4 gal),052VS,Shaw 200 (1 gal),026VS,Shaw 200 (4 gal),
SPC,U1,-,UV765,2064,UV76502064,Vietnam,VV465,UV766,UV767,UV768,V4146,,Active,9/2020,COREtec - Galaxy Pallet Program Vietnam,Galaxy SPC VT,,,493CT,Brookline Plank,"30 Residential, 7 Light Commercial",Andromeda Pine,Moderate,Pine,Plank,Woodgrain,,,,1220 mm x 181 mm x 4.4 mm,1220,-,181,4.4,12,0.3,-,-,5,Micro,0.80*0.12,0.80*0.12,-,3.1,SPC,1900,Gray,1,Cork,China,UV Acrylic,Akzo Nobel,8±2°,PU Glue,Angle/Tap,,Gold,-,1240,195,58,0.22,12,2.65,19,45,119,855,25,880,1265,1020,657,5,9,4,27,60,27,1215,28,1260,7.13'' x 48.03'' x 4.4 mm,28.52,48.03,-,7.13,0.17,48.82,7.68,2.28,41.89,1940.07,49.8,40.16,25.87,7'' x 48'' x 4.4 mm,28.52,1283.4,836210011686,10836210011683,-,-,04Z00-02064,04Z01-02064,04Z02-02064,04Z03-02064,04Z04-02064,04Z05-02064,,-,,USC02,-,,,,,,,,,,,,,,,,,,,US121,Lokworx Resilient Adhesive (1 gal),US104,LokWorx+ Resilient (1 gal),US122,Lokworx Resilient Adhesive (4 gal),US105,LokWorx+ Resil (4 gal),052VS,Shaw 200 (1 gal),026VS,Shaw 200 (4 gal),
SPC,U1,-,UV765,2065,UV76502065,Vietnam,VV465,UV766,UV767,UV768,V4146,,Active,9/2020,COREtec - Galaxy Pallet Program Vietnam,Galaxy SPC VT,,,493CT,Brookline Plank,"30 Residential, 7 Light Commercial",Sunflower Pine,Moderate,Pine,Plank,Woodgrain,,,,1220 mm x 181 mm x 4.4 mm,1220,-,181,4.4,12,0.3,-,-,5,Micro,0.80*0.12,0.80*0.12,-,3.1,SPC,1900,Gray,1,Cork,China,UV Acrylic,Akzo Nobel,8±2°,PU Glue,Angle/Tap,,Gold,-,1240,195,58,0.22,12,2.65,19,45,119,855,25,880,1265,1020,657,5,9,4,27,60,27,1215,28,1260,7.13'' x 48.03'' x 4.4 mm,28.52,48.03,-,7.13,0.17,48.82,7.68,2.28,41.89,1940.07,49.8,40.16,25.87,7'' x 48'' x 4.4 mm,28.52,1283.4,836210011693,10836210011690,-,-,04Z00-02065,04Z01-02065,04Z02-02065,04Z03-02065,04Z04-02065,04Z05-02065,,-,,USC02,-,,,,,,,,,,,,,,,,,,,US121,Lokworx Resilient Adhesive (1 gal),US104,LokWorx+ Resilient (1 gal),US122,Lokworx Resilient Adhesive (4 gal),US105,LokWorx+ Resil (4 gal),052VS,Shaw 200 (1 gal),026VS,Shaw 200 (4 gal),
SPC,U1,-,UV765,2066,UV76502066,Vietnam,VV465,UV766,UV767,UV768,V4146,,Active,9/2020,COREtec - Galaxy Pallet Program Vietnam,Galaxy SPC VT,,,493CT,Brookline Plank,"30 Residential, 7 Light Commercial",Spiral Pine,Moderate,Pine,Plank,Woodgrain,,,,1220 mm x 181 mm x 4.4 mm,1220,-,181,4.4,12,0.3,-,-,5,Micro,0.80*0.12,0.80*0.12,-,3.1,SPC,1900,Gray,1,Cork,China,UV Acrylic,Akzo Nobel,8±2°,PU Glue,Angle/Tap,,Gold,-,1240,195,58,0.22,12,2.65,19,45,119,855,25,880,1265,1020,657,5,9,4,27,60,27,1215,28,1260,7.13'' x 48.03'' x 4.4 mm,28.52,48.03,-,7.13,0.17,48.82,7.68,2.28,41.89,1940.07,49.8,40.16,25.87,7'' x 48'' x 4.4 mm,28.52,1283.4,836210011709,10836210011706,-,-,04Z00-02066,04Z01-02066,04Z02-02066,04Z03-02066,04Z04-02066,04Z05-02066,,-,,USC02,-,,,,,,,,,,,,,,,,,,,US121,Lokworx Resilient Adhesive (1 gal),US104,LokWorx+ Resilient (1 gal),US122,Lokworx Resilient Adhesive (4 gal),US105,LokWorx+ Resil (4 gal),052VS,Shaw 200 (1 gal),026VS,Shaw 200 (4 gal),
SPC,U1,-,UV765,2069,UV76502069,Vietnam,VV465,UV766,UV767,UV768,V4146,,Future Drop,9/2020,COREtec - Galaxy Pallet Program Vietnam,Galaxy SPC VT,,,493CT,Brookline Plank,"30 Residential, 7 Light Commercial",Sombrero Oak,Low,Oak,Plank,Woodgrain,,,,1220 mm x 181 mm x 4.4 mm,1220,-,181,4.4,12,0.3,-,-,5,Micro,0.80*0.12,0.80*0.12,-,3.1,SPC,1900,Gray,1,Cork,China,UV Acrylic,Akzo Nobel,8±2°,PU Glue,Angle/Tap,,Gold,-,1240,195,58,0.22,12,2.65,19,45,119,855,25,880,1265,1020,657,5,9,4,27,60,27,1215,28,1260,7.13'' x 48.03'' x 4.4 mm,28.52,48.03,-,7.13,0.17,48.82,7.68,2.28,41.89,1940.07,49.8,40.16,25.87,7'' x 48'' x 4.4 mm,28.52,1283.4,836210011716,10836210011713,-,-,04Z00-02069,04Z01-02069,04Z02-02069,04Z03-02069,04Z04-02069,04Z05-02069,,-,,USC02,-,,,,,,,,,,,,,,,,,,,US121,Lokworx Resilient Adhesive (1 gal),US104,LokWorx+ Resilient (1 gal),US122,Lokworx Resilient Adhesive (4 gal),US105,LokWorx+ Resil (4 gal),052VS,Shaw 200 (1 gal),026VS,Shaw 200 (4 gal),
SPC,U1,-,UV765,2080,UV76502080,Vietnam,VV465,UV766,UV767,UV768,V4146,,Active,9/2020,COREtec - Galaxy Pallet Program Vietnam,Galaxy SPC VT,,,493CT,Brookline Plank,"30 Residential, 7 Light Commercial",Magellanic Oak,High,Oak,Plank,Woodgrain,,,,1220 mm x 181 mm x 4.4 mm,1220,-,181,4.4,12,0.3,-,-,5,Micro,0.80*0.12,0.80*0.12,-,3.1,SPC,1900,Gray,1,Cork,China,UV Acrylic,Akzo Nobel,8±2°,PU Glue,Angle/Tap,,Gold,-,1240,195,58,0.22,12,2.65,19,45,119,855,25,880,1265,1020,657,5,9,4,27,60,27,1215,28,1260,7.13'' x 48.03'' x 4.4 mm,28.52,48.03,-,7.13,0.17,48.82,7.68,2.28,41.89,1940.07,49.8,40.16,25.87,7'' x 48'' x 4.4 mm,28.52,1283.4,836210011723,10836210011720,-,-,-,-,-,-,-,-,,-,,USC02,-,,,,,,,,,,,,,,,,,,,US121,Lokworx Resilient Adhesive (1 gal),US104,LokWorx+ Resilient (1 gal),US122,Lokworx Resilient Adhesive (4 gal),US105,LokWorx+ Resil (4 gal),052VS,Shaw 200 (1 gal),026VS,Shaw 200 (4 gal),
