SHAW HARDWOOD MASTER SPREADSHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERNAL USE ONLY,,,Updated 1/12/2026,,,,,,,SHAW FLOORS RETAIL,,,,SHAW BUILDER FLOORING,,,,ALIGNED,,,,PRODUCT SPECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETAIL MOLDINGS / TRIMS,,,,,,,,BUILDER MOLDINGS / TRIMS,,,,,,,,,
Construction,Collection / Grouping,Canadian Approved,Launch Date,Country of Origin,Product Category,Product Description,Style Status,Inventory Style #,Inventory Color #,Shaw Retail Style #,Shaw Retail Style Name,Color #,Shaw Color Name,Shaw Builder Style #,Shaw Builder Flooring Style Name,Color #,Shaw Builder Flooring Color Name,SFN Style #,SFN Style Name,SDC Style #,SDC Style Name,Species,Core,Backing Layer Species,Color & Character Variation Rating,Light Sensitive,Radiant Heat Approved,Cradle 2 Cradle Certified,GREENGUARD Certified,T & G Glue/Glueless,Surface Texture,Grade,Installation Method,Installation Grade,Recommended Adhesives,Plys,Bevel Edges,Bevel Ends,Gloss Level,Finish,Color Family,Color Shade,Fumed - Y/N,Nominal Face Thickness - inches,Nominal Face Thickness - mm,Face Type,Nominal Overall Thickness - Inches,Nominal Overall Thickness - mm,Width - inches,Length - inches,Weight per Carton (lbs),Weight per Pallet,Planks per Carton,Direct Warranty,Builder Warranty,Light Commercial Warranty,Full Commercial Warranty,SQFT per Carton,Cartons per Pallet,SQFT per Pallet,Pallets per Truck,Box Dimensions (L x W x H),Pallet Dimensions (L x W x H),UPC (Box),"Flush Reducer Length 78""","Overlap Reducer Length 78""","Flush Stairnose Length 78""","Overlap Stairnose Length 78""","Square Edge Stairnose Length 78""","Threshold / End Mold / Carpet Reducer Length 78""","T-Molding Length 78""","Quarter Round Length 78""","Flush Reducer Length 78""","Overlap Reducer Length 78""","Flush Stairnose Length 78""","Overlap Stairnose Length 78""","Square Edge Stairnose Length 78""","Threshold / End Mold / Carpet Reducer Length 78""","T-Molding Length 78""","Quarter Round Length 78""",Retail Additional Options,Builder Additional Options
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0293W,135,SW581,"Albright Oak 3.25""",135,Rustic Natural,HW581,"All In II 3.25""",135,Rustic Natural,SA489,"Arden Oak 3 1/4""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Natural,Light,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010377,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0293W,223,SW581,"Albright Oak 3.25""",223,Caramel,HW581,"All In II 3.25""",223,Caramel,SA489,"Arden Oak 3 1/4""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Gold,Medium,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010384,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0293W,543,SW581,"Albright Oak 3.25""",543,Weathered,HW581,"All In II 3.25""",543,Weathered,SA489,"Arden Oak 3 1/4""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Grey,Medium,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010391,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0293W,780,SW581,"Albright Oak 3.25""",780,Gunstock,HW581,"All In II 3.25""",780,Gunstock,SA489,"Arden Oak 3 1/4""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Brown,Medium,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010407,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0293W,874,SW581,"Albright Oak 3.25""",874,Hazelnut,HW581,"All In II 3.25""",874,Hazelnut,SA489,"Arden Oak 3 1/4""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Brown,Medium,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010414,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0293W,938,SW581,"Albright Oak 3.25""",938,Coffee Bean,HW581,"All In II 3.25""",938,Coffee Bean,SA489,"Arden Oak 3 1/4""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Brown,Dark,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010421,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0293W,947,SW581,"Albright Oak 3.25""",947,Cherry,HW581,"All In II 3.25""",947,Cherry,SA489,"Arden Oak 3 1/4""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Red,Dark,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010438,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
Duras / Epic Plus,Epic+,Y,Q1 2021,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0352W,1102,SW581,"Albright Oak 3.25""",1102,Biscuit - Low Gloss,HW581,"All In II 3.25""",1102,Biscuit - Low Gloss,N/A,N/A,N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,7%,ScufResist Platinum,Beige,Light,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402302687,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0293W,5013,SW581,"Albright Oak 3.25""",5013,Charcoal,HW581,"All In II 3.25""",5013,Charcoal,SA489,"Arden Oak 3 1/4""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Grey,Dark,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402019059,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
